Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,569.5779229167
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,3952.83078116586
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4160.22006671831
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,11865.9632317194
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,36038.2676044596
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3683.5526074127
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13659.1479142644
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,13698.2934384857
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3617.93574555176
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,56561.4123818054
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,44206.7842820834
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5500.31038244408
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,30483.8201004038
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,22688.8782442968
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1210.15876939761
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16129.0492827663
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5949.10630699748
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,40361.1541907535
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4950.25606198927
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,783.963077800944
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2615.31022007844
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3077.02619917158
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4584.24254781755
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6527.50816086673
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8750.22299607324
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,30967.890506377
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,6993.47554370696
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,575.314454176312
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,300.676556925263
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,2995.15055267969
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1163.18977018231
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1353.92448961447
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,43525.3701865304
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,348.381427149795
