"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.24954214","17.49073742","20.92708722","24.44651183","28.41666243","31.84018306","38.70049248","42.30451021","45.5877498","51.5532587","52.21850635","55.96754976","60.11276091","60.0888133","","",
"Angola","AGO","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.90328266","27.31459434","30.16549994","36.66608237","52.13793881","57.42752626","74.26698242","92.59170959","135.37606862","120.00439409","96.7489729","122.22687671","122.48093963","143.78773001","131.84200753","108.55953548","","",
"Albania","ALB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.53148121","81.9464362","89.85833929","113.58393768","151.98044712","165.86543866","172.79555737","216.41312036","240.38261741","207.42781165","204.21313716","248.17258715","247.26669073","277.66892701","314.86262914","265.90323579","","",
"Andorra","AND","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050.64753176","2081.27540456","2332.15182954","3008.32608786","3539.6967025","4036.76710286","4249.24031453","4764.92161303","4985.57132352","4721.91760536","4595.7141947","4860.49496441","4641.60170335","5751.40302837","5088.21287833","4315.6983093","","",
"Arab World","ARB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.33464578064","116.635598999894","115.982062180251","113.311215696448","123.959573393735","137.647857761972","157.959956344422","185.028127951936","215.295816479652","237.668610881716","242.477481065713","277.656587743034","300.410155904151","333.012902371094","359.723897107724","335.511840435576","","",
"United Arab Emirates","ARE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","781.81669142","771.68348816","850.95152585","879.39393443","890.30369949","915.08376784","985.32949968","1094.84966853","1340.03870655","1339.4374974","1359.02544951","1483.96955727","1441.55103149","1556.31090911","1613.37513956","1401.97447677","","",
"Argentina","ARG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418.39769168","403.01421476","137.91425983","217.97800708","250.72510136","326.58224313","380.10268452","465.15188455","567.32801042","576.81118144","698.60349564","806.85994946","864.50535407","920.81287954","845.05468735","997.93137533","","",
"Armenia","ARM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.51081708","45.38831225","44.57370229","52.18970268","98.0726002","115.63644842","120.59915252","170.91263774","174.30584603","140.38217449","169.42145503","133.2231376","247.31892623","317.8587381","281.28872865","366.04924783","","",
"American Samoa","ASM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
