Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,15777451
"Population, total",SP.POP.TOTL,Zambia,ZMB,16100587
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,26916207
"Population, total",SP.POP.TOTL,Vietnam,VNM,93571567
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,31155134
"Population, total",SP.POP.TOTL,Vanuatu,VUT,264603
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,31298900
"Population, total",SP.POP.TOTL,Uruguay,URY,3431552
"Population, total",SP.POP.TOTL,United States,USA,321039839
"Population, total",SP.POP.TOTL,United Kingdom,GBR,65128861
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9154302
"Population, total",SP.POP.TOTL,Ukraine,UKR,45154029
"Population, total",SP.POP.TOTL,Uganda,UGA,40144870
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11001
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,34339
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5565284
"Population, total",SP.POP.TOTL,Turkey,TUR,78271472
"Population, total",SP.POP.TOTL,Tunisia,TUN,11273661
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1360092
"Population, total",SP.POP.TOTL,Tonga,TON,106364
"Population, total",SP.POP.TOTL,Togo,TGO,7416802
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1240977
"Population, total",SP.POP.TOTL,Thailand,THA,68657600
"Population, total",SP.POP.TOTL,Tanzania,TZA,53879957
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8548651
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,18734987
"Population, total",SP.POP.TOTL,Switzerland,CHE,8282396
"Population, total",SP.POP.TOTL,Sweden,SWE,9799186
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1319011
"Population, total",SP.POP.TOTL,Suriname,SUR,553208
"Population, total",SP.POP.TOTL,Sudan,SDN,38647803
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,109455
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,31754
"Population, total",SP.POP.TOTL,St. Lucia,LCA,177206
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,54288
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20966000
"Population, total",SP.POP.TOTL,Spain,ESP,46444832
"Population, total",SP.POP.TOTL,South Africa,ZAF,55291225
"Population, total",SP.POP.TOTL,Somalia,SOM,13908129
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,587482
"Population, total",SP.POP.TOTL,Slovenia,SVN,2063531
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5423801
"Population, total",SP.POP.TOTL,Singapore,SGP,5535002
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7237025
"Population, total",SP.POP.TOTL,Seychelles,SYC,93419
"Population, total",SP.POP.TOTL,Serbia,SRB,7095383
"Population, total",SP.POP.TOTL,Senegal,SEN,14976994
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,31557144
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,195553
"Population, total",SP.POP.TOTL,San Marino,SMR,32960
"Population, total",SP.POP.TOTL,Samoa,WSM,193759
"Population, total",SP.POP.TOTL,Rwanda,RWA,11629553
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144096870
"Population, total",SP.POP.TOTL,Romania,ROU,19815481
"Population, total",SP.POP.TOTL,Qatar,QAT,2481539
