Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12249114,20093756,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
"Population, total",SP.POP.TOTL,Algeria,DZA,25912367,31183660,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142
"Population, total",SP.POP.TOTL,American Samoa,ASM,47038,57521,57030,56227,55637,55320,55230,55307,55437,55537,55599,55641
"Population, total",SP.POP.TOTL,Andorra,AND,54509,65390,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965
"Population, total",SP.POP.TOTL,Angola,AGO,12171441,16440924,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,66696,83584,92478,93581,94661,95719,96777,97824,98875,99923,100963,102012
"Population, total",SP.POP.TOTL,Argentina,ARG,32729739,37057452,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041
"Population, total",SP.POP.TOTL,Armenia,ARM,3538165,3069588,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450
"Population, total",SP.POP.TOTL,Aruba,ABW,62149,90853,101353,101453,101669,102053,102577,103187,103795,104341,104822,105264
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,21249200,21691700,22031750,22340024,22742475,23145901,23504138,23850784,24210809,24598933
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8809212
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,8048600,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9862429
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256336,297890,348676,354856,360832,366568,372039,377240,382169,386838,391232,395361
"Population, total",SP.POP.TOTL,Bahrain,BHR,495931,664614,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584
"Population, total",SP.POP.TOTL,Bangladesh,BGD,106188642,131581243,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751
"Population, total",SP.POP.TOTL,Barbados,BRB,260374,269847,277319,278470,279569,280601,281585,282509,283385,284217,284996,285719
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,9979610,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9507875
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10709973,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11331422,11372068
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,247315,306165,313929,321608,329192,336701,344181,351694,359288,366954,374681
"Population, total",SP.POP.TOTL,Benin,BEN,4978496,6865951,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,65273,65636,65124,64564,64798,65001,65139,65239,65341,65441
"Population, total",SP.POP.TOTL,Bhutan,BTN,537280,573416,700950,714458,727641,740510,752967,764961,776448,787386,797765,807610
"Population, total",SP.POP.TOTL,Bolivia,BOL,6856244,8339512,9599855,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882,11051600
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4463422,3766706,3763599,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816,3507017
"Population, total",SP.POP.TOTL,Botswana,BWA,1377912,1728340,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2291661
"Population, total",SP.POP.TOTL,Brazil,BRA,149352145,175287587,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865,209288278
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,16461,20645,25604,26447,27224,27901,28509,29056,29588,30113,30661,31196
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,258785,333241,379252,383772,388662,394013,399748,405716,411704,417542,423196,428697
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075991
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,8811034,11607942,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193382
"Population, total",SP.POP.TOTL,Burundi,BDI,5415415,6400706,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117,10864245
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,341883,435079,491723,496963,502384,508067,513979,520106,526437,532913,539560,546388
"Population, total",SP.POP.TOTL,Cambodia,KHM,8973342,12152354,13880509,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370,16005373
"Population, total",SP.POP.TOTL,Cameroon,CMR,11715218,15274234,18907008,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189,24053727
"Population, total",SP.POP.TOTL,Canada,CAN,27791000,30769700,33245773,33628571,34005274,34342780,34750545,35152370,35535348,35832513,36264604,36708083
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25010,41687,52926,54279,55507,56579,57523,58371,59172,59963,60765,61559
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2939780,3754986,4345386,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621,4659080
"Population, total",SP.POP.TOTL,Chad,TCD,5956859,8342559,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543,14899994
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140671,148725,157581,158603,159581,160497,161358,162180,162969,163758,164541,165314
"Population, total",SP.POP.TOTL,Chile,CHL,13242132,15262754,16661942,16829442,16993354,17153357,17309746,17462982,17613798,17762681,17909754,18054726
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000
"Population, total",SP.POP.TOTL,Colombia,COL,34271565,40403958,44901544,45416181,45918097,46406646,46881475,47342981,47791911,48228697,48653419,49065615
"Population, total",SP.POP.TOTL,Comoros,COM,411594,542357,657229,673252,689692,706569,723868,741500,759385,777424,795601,813912
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,34614581,47076387,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153,81339988
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2440457,3225727,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821,5260750
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3095995,3925443,4429508,4488263,4545280,4600474,4654122,4706401,4757575,4807852,4857274,4905769
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12267754,16686561,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919,24294750
"Population, total",SP.POP.TOTL,Croatia,HRV,4780000,4426000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4203604,4174349,4125700
"Population, total",SP.POP.TOTL,Cuba,CUB,10582081,11150736,11309754,11318602,11333051,11354651,11382146,11412167,11439767,11461432,11475982,11484636
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,145880,146833,148703,150831,152088,153822,155909,157980,159663,161014
"Population, total",SP.POP.TOTL,Cyprus,CYP,766614,943286,1081563,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125,1179551
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10255063,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10591323
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5769603
"Population, total",SP.POP.TOTL,Djibouti,DJI,590398,717584,822934,836840,851146,865937,881185,896688,912164,927414,942333,956985
"Population, total",SP.POP.TOTL,Dominica,DMA,70926,69676,71074,71229,71440,71718,72044,72400,72778,73162,73543,73925
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7183647,8562622,9636520,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791,10766998
"Population, total",SP.POP.TOTL,Ecuador,ECU,10218091,12628596,14447562,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068,16624858
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,57412215,69905988,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553151
"Population, total",SP.POP.TOTL,El Salvador,SLV,5254984,5867626,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722,6377853
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,426846,614323,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689
"Population, total",SP.POP.TOTL,Eritrea,ERI,3113311,3392801,4232636,4310334,4390840,4474690,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1315480
"Population, total",SP.POP.TOTL,Eswatini,SWZ,861373,1061468,1158897,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098,1367254
"Population, total",SP.POP.TOTL,Ethiopia,ETH,48086516,66537331,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47594,47258,48485,48517,48550,48608,48666,48747,48842,48965,49117,49290
"Population, total",SP.POP.TOTL,Fiji,FJI,728628,811223,843340,851967,859950,867086,873596,879715,885806,892149,898760,905502
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5511303
"Population, total",SP.POP.TOTL,France,FRA,58512808,60912500,64374989,64707044,65027507,65342775,65659789,65998660,66316092,66593366,66859768,67118648
"Population, total",SP.POP.TOTL,French Polynesia,PYF,198375,237258,263179,265581,267820,269843,271703,273528,275484,277690,280208,283007
"Population, total",SP.POP.TOTL,Gabon,GAB,952212,1231122,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025137
